striker,batting_team,num_innings,runs,balls,outs,fours,sixes,dots,ones,twos,threes,strike_rate,balls_per_dismissal,bat_avg,bpb,dot_%,30+_scores,50+_scores,100+_scores
N Pooran,MI,14,724,434,9,57,31,97,215,34,9,166.82,48.22,80.44,4.93,22.35,12,7,0
GJ Maxwell,RR,15,709,383,10,59,35,71,198,25,5,185.12,38.3,70.9,4.07,18.54,9,6,1
BM Duckett,SRH,10,620,361,8,46,25,71,179,49,3,171.75,45.12,77.5,5.08,19.67,7,6,1
DP Conway,GT,14,620,386,14,65,18,109,167,29,9,160.62,27.57,44.29,4.65,28.24,8,5,1
KL Rahul,SRH,14,619,397,6,50,23,93,197,36,4,155.92,66.17,103.17,5.44,23.43,9,7,0
RD Gaikwad,RCB,14,601,378,13,55,21,98,177,30,6,158.99,29.08,46.23,4.97,25.93,8,6,0
V Kohli,DC,14,593,354,11,51,24,83,166,32,5,167.51,32.18,53.91,4.72,23.45,8,5,1
SS Iyer,LSG,14,588,369,13,48,23,93,185,23,9,159.35,28.38,45.23,5.2,25.2,9,5,0
SV Samson,GT,14,587,377,13,51,20,103,165,37,8,155.7,29.0,45.15,5.31,27.32,8,6,0
Abhishek Sharma,MI,15,565,333,11,54,21,83,156,20,9,169.67,30.27,51.36,4.44,24.92,7,5,0
RD Rickelton,RR,15,553,348,15,47,25,109,131,33,6,158.91,23.2,36.87,4.83,31.32,10,3,0
SA Yadav,DC,15,548,313,12,51,21,65,157,20,7,175.08,26.08,45.67,4.35,20.77,7,5,0
PP Shaw,MI,15,546,363,14,59,14,114,149,31,5,150.41,25.93,39.0,4.97,31.4,8,5,0
AM Rahane,KKR,14,537,368,12,47,19,115,163,24,8,145.92,30.67,44.75,5.58,31.25,8,5,1
PD Salt,RCB,13,536,324,13,51,23,99,129,22,7,165.43,24.92,41.23,4.38,30.56,7,4,0
Shubman Gill,LSG,14,534,338,12,46,22,101,139,29,7,157.99,28.17,44.5,4.97,29.88,9,4,1
Naman Dhir,GT,13,513,311,8,35,19,52,171,26,12,164.95,38.88,64.12,5.76,16.72,7,5,0
P Simran Singh,SRH,15,502,316,15,42,21,92,138,23,8,158.86,21.07,33.47,5.02,29.11,8,3,0
JC Buttler,KKR,14,483,299,14,51,18,103,120,18,5,161.54,21.36,34.5,4.33,34.45,8,5,0
Tilak Varma,CSK,14,464,286,12,46,19,97,113,16,7,162.24,23.83,38.67,4.4,33.92,6,5,0
TM Head,CSK,14,457,314,13,50,12,103,135,22,2,145.54,24.15,35.15,5.06,32.8,6,4,0
Abishek Porel,DC,13,441,240,10,38,24,65,96,23,1,183.75,24.0,44.1,3.87,27.08,6,3,0
S Dube,RR,13,439,273,10,30,24,81,124,18,5,160.81,27.3,43.9,5.06,29.67,8,2,0
Q de Kock,PBKS,13,430,271,12,33,23,89,110,16,6,158.67,22.58,35.83,4.84,32.84,6,4,0
F du Plessis,CSK,14,415,334,13,27,15,119,144,29,5,124.25,25.69,31.92,7.95,35.63,6,4,1
Ishan Kishan,KKR,14,398,261,14,41,18,106,86,11,6,152.49,18.64,28.43,4.42,40.61,7,2,0
YBK Jaiswal,RR,15,397,233,11,30,20,60,95,25,4,170.39,21.18,36.09,4.66,25.75,7,3,0
Smaran Ravichandran,PBKS,11,388,228,9,27,15,53,91,30,13,170.18,25.33,43.11,5.43,23.25,6,3,0
VR Iyer,SRH,12,387,256,7,38,15,76,119,10,2,151.17,36.57,55.29,4.83,29.69,5,2,0
RM Patidar,RR,15,383,260,14,30,18,83,120,16,1,147.31,18.57,27.36,5.42,31.92,6,2,0
RR Rossouw,MI,11,356,222,9,28,13,57,108,20,6,160.36,24.67,39.56,5.41,25.68,5,5,0
T Stubbs,CSK,8,356,224,6,26,16,55,123,12,3,158.93,37.33,59.33,5.33,24.55,6,4,0
H Klaasen,PBKS,14,346,225,8,28,14,59,111,18,1,153.78,28.12,43.25,5.36,26.22,6,2,0
B Sai Sudharsan,RCB,12,344,246,11,21,19,87,103,17,3,139.84,22.36,31.27,6.15,35.37,5,2,0
R Powell,KKR,13,334,193,9,24,21,58,79,12,3,173.06,21.44,37.11,4.29,30.05,7,1,0
N Sindhu,DC,12,332,187,11,23,20,55,71,14,7,177.54,17.0,30.18,4.35,29.41,5,2,0
RG Sharma,PBKS,14,331,237,13,34,11,88,95,11,4,139.66,18.23,25.46,5.27,37.13,5,1,0
Urvil Patel,DC,15,316,214,11,22,13,65,88,19,8,147.66,19.45,28.73,6.11,30.37,5,1,0
RK Singh,RCB,13,307,196,7,23,12,48,99,19,2,156.63,28.0,43.86,5.6,24.49,4,1,0
SP Narine,LSG,8,281,167,6,17,17,50,66,21,1,168.26,27.83,46.83,4.91,29.94,4,2,0
KA Pollard,CSK,11,238,154,5,17,13,50,68,6,4,154.55,30.8,47.6,5.13,32.47,2,1,0
BA Stokes,LSG,12,236,174,10,18,11,71,68,9,4,135.63,17.4,23.6,6.0,40.8,2,2,0
JP Inglis,GT,7,233,143,4,14,12,40,56,20,3,162.94,35.75,58.25,5.5,27.97,3,2,0
WG Jacks,LSG,11,226,145,10,24,9,57,51,8,3,155.86,14.5,22.6,4.39,39.31,2,1,0
N Rana,KKR,9,222,166,7,20,7,60,67,12,3,133.73,23.71,31.71,6.15,36.14,3,2,0
Shashank Singh,PBKS,12,210,114,9,14,11,30,42,11,8,184.21,12.67,23.33,4.56,26.32,2,1,0
R Parag,GT,12,205,135,5,16,9,47,51,12,4,151.85,27.0,41.0,5.4,34.81,2,1,0
Washington Sundar,PBKS,9,198,151,7,18,9,66,46,10,2,131.13,21.57,28.29,5.59,43.71,3,1,0
J Fraser-McGurk,RCB,5,195,120,5,15,9,36,49,10,4,162.5,24.0,39.0,5.0,30.0,3,2,0
C Green,RCB,8,194,124,4,20,7,36,57,6,1,156.45,31.0,48.5,4.59,29.03,1,0,0
AD Russell,DC,8,189,106,3,13,12,30,42,7,3,178.3,35.33,63.0,4.24,28.3,3,0,0
JM Sharma,RCB,10,180,98,4,10,14,35,44,6,0,183.67,24.5,45.0,4.08,35.71,2,1,0
MP Stoinis,PBKS,8,176,129,8,17,6,49,48,9,2,136.43,16.12,22.0,5.61,37.98,2,0,0
AK Markram,SRH,9,169,115,5,17,6,41,49,5,2,146.96,23.0,33.8,5.0,35.65,3,0,0
FH Allen,MI,8,165,102,8,16,8,36,38,6,1,161.76,12.75,20.62,4.25,35.29,2,1,0
Sikandar Raza,DC,6,163,110,5,13,8,40,42,9,1,148.18,22.0,32.6,5.24,36.36,2,0,0
LS Livingstone,SRH,8,160,125,8,12,8,46,54,5,0,128.0,15.62,20.0,6.25,36.8,2,0,0
Nithish Kumar Reddy,GT,10,159,115,7,8,8,38,51,8,4,138.26,16.43,22.71,7.19,33.04,1,0,0
AR Patel,CSK,10,158,125,6,16,5,48,54,2,2,126.4,20.83,26.33,5.95,38.4,1,0,0
BJ McMullen,DC,4,150,111,4,8,8,39,47,10,1,135.14,27.75,37.5,6.94,35.14,3,0,0
MS Dhoni,CSK,9,133,97,6,10,5,34,39,6,4,137.11,16.17,22.17,6.47,35.05,2,0,0
Ramandeep Singh,LSG,7,127,68,3,3,11,18,29,7,2,186.76,22.67,42.33,4.86,26.47,1,0,0
Jay Gohil,MI,8,126,61,5,8,10,18,20,4,2,206.56,12.2,25.2,3.39,29.51,1,0,0
Dhruv Jurel,LSG,7,120,75,3,8,8,25,34,3,0,160.0,25.0,40.0,4.69,33.33,1,1,0
HH Pandya,MI,12,110,79,8,4,8,30,33,5,1,139.24,9.88,13.75,6.58,37.97,1,0,0
D Brevis,PBKS,4,101,84,4,9,3,31,39,1,2,120.24,21.0,25.25,7.0,36.9,2,1,0
Sameer Rizvi,LSG,3,96,57,2,10,4,20,19,5,1,168.42,28.5,48.0,4.07,35.09,2,0,0
Priyansh Arya,SRH,3,92,50,3,7,7,20,13,3,1,184.0,16.67,30.67,3.57,40.0,2,1,0
RA Bawa,KKR,7,88,50,5,6,7,21,13,3,1,176.0,10.0,17.6,3.85,42.0,0,0,0
MK Lomror,SRH,5,83,59,2,7,3,16,29,4,0,140.68,29.5,41.5,5.9,27.12,1,1,0
SM Curran,KKR,11,74,72,5,5,2,32,36,3,0,102.78,14.4,14.8,10.29,44.44,0,0,0
MG Bracewell,DC,5,73,47,4,2,6,16,19,2,2,155.32,11.75,18.25,5.88,34.04,0,0,0
DJ Hooda,GT,5,61,34,4,3,5,12,12,2,1,179.41,8.5,15.25,4.25,35.29,1,0,0
MK Pandey,KKR,3,60,56,3,5,1,21,24,5,0,107.14,18.67,20.0,9.33,37.5,1,0,0
Ashutosh Sharma,RCB,4,58,46,3,6,1,16,18,5,0,126.09,15.33,19.33,6.57,34.78,1,0,0
PJ Cummins,PBKS,5,57,43,2,4,2,15,19,2,2,132.56,21.5,28.5,7.17,34.88,0,0,0
MA Agarwal,KKR,3,57,45,3,3,3,17,20,2,1,126.67,15.0,19.0,7.5,37.78,1,0,0
Suryansh Shedge,CSK,6,56,31,5,6,4,16,8,0,0,180.65,6.2,11.2,3.1,51.61,1,0,0
DA Miller,RR,5,56,51,3,2,3,19,24,3,0,109.8,17.0,18.67,10.2,37.25,1,0,0
Shakib Al Hasan,PBKS,5,55,46,3,2,5,25,11,3,0,119.57,15.33,18.33,6.57,54.35,0,0,0
R Ashwin,KKR,6,49,37,4,3,3,15,13,3,0,132.43,9.25,12.25,6.17,40.54,0,0,0
Anmolpreet Singh,CSK,4,47,33,3,7,0,9,17,1,0,142.42,11.0,15.67,4.71,27.27,0,0,0
Harpreet Brar,RCB,4,44,33,0,4,2,15,12,2,0,133.33,inf,inf,5.5,45.45,0,0,0
RA Tripathi,PBKS,3,43,41,3,1,3,19,19,0,1,104.88,13.67,14.33,10.25,46.34,0,0,0
Arslan Khan,MI,4,40,28,4,6,0,11,8,1,2,142.86,7.0,10.0,4.67,39.29,0,0,0
TH David,LSG,4,39,29,4,1,2,8,16,2,1,134.48,7.25,9.75,9.67,27.59,0,0,0
Shahbaz Ahmed,LSG,4,37,38,3,4,1,22,9,3,0,97.37,12.67,12.33,7.6,57.89,0,0,0
AS Roy,LSG,5,36,26,3,2,3,13,7,0,1,138.46,8.67,12.0,5.2,50.0,0,0,0
DA Warner,DC,1,36,33,1,2,2,15,12,2,0,109.09,33.0,36.0,8.25,45.45,1,0,0
Abdul Samad,LSG,3,34,30,2,3,0,7,20,1,0,113.33,15.0,17.0,10.0,23.33,0,0,0
KH Pandya,SRH,1,33,19,1,1,3,6,9,1,0,173.68,19.0,33.0,4.75,31.58,1,0,0
Sanvir Singh,SRH,4,32,25,3,1,2,10,8,4,0,128.0,8.33,10.67,8.33,40.0,0,0,0
Swapnil Singh,RR,6,32,25,5,2,2,13,6,3,0,128.0,5.0,6.4,6.25,52.0,0,0,0
SB Dubey,GT,1,28,18,1,4,0,5,7,1,1,155.56,18.0,28.0,4.5,27.78,0,0,0
PWH de Silva,DC,3,28,23,0,2,1,9,9,1,1,121.74,inf,inf,7.67,39.13,0,0,0
RR Pant,RR,5,28,26,3,0,1,9,12,2,2,107.69,8.67,9.33,26.0,34.62,0,0,0
Azmatullah Omarzai,RR,2,27,13,1,1,2,3,4,2,1,207.69,13.0,27.0,4.33,23.08,0,0,0
GF Linde,RR,5,27,18,3,4,1,9,3,1,0,150.0,6.0,9.0,3.6,50.0,0,0,0
Ayush Mhatre,KKR,2,27,20,2,3,1,7,9,0,0,135.0,10.0,13.5,5.0,35.0,0,0,0
SH Johnson,SRH,3,27,21,1,2,0,9,6,2,3,128.57,21.0,27.0,10.5,42.86,0,0,0
KD Karthik,CSK,4,25,38,4,3,0,24,13,0,0,65.79,9.5,6.25,12.67,63.16,0,0,0
SE Rutherford,LSG,1,24,16,1,1,1,3,8,3,0,150.0,16.0,24.0,8.0,18.75,0,0,0
Arshdeep Singh,LSG,4,24,32,2,0,1,20,9,3,1,75.0,16.0,12.0,32.0,62.5,0,0,0
MR Marsh,DC,5,23,30,3,2,0,14,15,0,0,76.67,10.0,7.67,15.0,46.67,0,0,0
RK Bhui,RCB,2,22,18,2,1,1,6,9,0,1,122.22,9.0,11.0,9.0,33.33,0,0,0
Rashid Khan,GT,3,22,21,3,1,1,8,10,1,0,104.76,7.0,7.33,10.5,38.1,0,0,0
M Jansen,GT,3,22,23,2,0,2,13,8,1,0,95.65,11.5,11.0,11.5,56.52,0,0,0
Aryan Juyal,LSG,4,21,28,3,0,1,18,5,2,2,75.0,9.33,7.0,28.0,64.29,0,0,0
JE Root,GT,1,19,14,1,0,2,6,5,1,0,135.71,14.0,19.0,7.0,42.86,0,0,0
RA Jadeja,DC,2,17,8,0,2,1,4,1,1,0,212.5,inf,inf,2.67,50.0,0,0,0
JR Hazlewood,RR,1,17,12,0,2,0,6,1,1,2,141.67,inf,inf,6.0,50.0,0,0,0
J Overton,KKR,2,17,14,1,0,2,7,5,0,0,121.43,14.0,17.0,7.0,50.0,0,0,0
Mohammad Nabi,GT,3,17,15,1,0,1,4,9,1,0,113.33,15.0,17.0,15.0,26.67,0,0,0
Jagjit Singh,CSK,2,16,10,1,2,0,3,3,1,1,160.0,10.0,16.0,5.0,30.0,0,0,0
T Natarajan,CSK,3,13,7,1,1,1,3,1,1,0,185.71,7.0,13.0,3.5,42.86,0,0,0
JD Unadkat,RR,2,13,11,0,2,0,4,5,0,0,118.18,inf,inf,5.5,36.36,0,0,0
D Ferreira,SRH,3,13,15,2,2,0,8,5,0,0,86.67,7.5,6.5,7.5,53.33,0,0,0
M Theekshana,MI,3,13,25,3,2,0,19,3,1,0,52.0,8.33,4.33,12.5,76.0,0,0,0
JG Bethell,SRH,1,12,6,0,0,1,1,4,1,0,200.0,inf,inf,6.0,16.67,0,0,0
Noor Ahmad,KKR,1,12,7,1,1,1,4,2,0,0,171.43,7.0,12.0,3.5,57.14,0,0,0
SK Rasheed,PBKS,1,12,7,1,1,1,4,0,1,0,171.43,7.0,12.0,3.5,57.14,0,0,0
N Wadhera,RR,2,12,9,2,2,0,6,1,0,1,133.33,4.5,6.0,4.5,66.67,0,0,0
HV Patel,PBKS,3,12,11,2,1,0,3,6,1,0,109.09,5.5,6.0,11.0,27.27,0,0,0
Salman Nizar,MI,2,12,18,1,0,0,6,12,0,0,66.67,18.0,12.0,inf,33.33,0,0,0
VG Arora,KKR,2,11,8,1,0,1,3,3,1,0,137.5,8.0,11.0,8.0,37.5,0,0,0
TU Deshpande,RR,1,11,11,1,0,1,6,3,1,0,100.0,11.0,11.0,11.0,54.55,0,0,0
JC Archer,LSG,2,11,12,1,1,0,7,2,1,1,91.67,12.0,11.0,12.0,58.33,0,0,0
M Siddharth,CSK,2,10,4,1,2,0,1,0,1,0,250.0,4.0,10.0,2.0,25.0,0,0,0
JJ Bumrah,MI,3,10,6,2,0,1,2,2,1,0,166.67,3.0,5.0,6.0,33.33,0,0,0
Harshit Rana,SRH,2,10,7,1,0,1,2,4,0,0,142.86,7.0,10.0,7.0,28.57,0,0,0
YS Chahal,RCB,3,10,10,3,0,1,7,1,0,1,100.0,3.33,3.33,10.0,70.0,0,0,0
Sandeep Sharma,RR,2,10,11,0,1,0,5,4,1,0,90.91,inf,inf,11.0,45.45,0,0,0
TA Boult,MI,1,9,6,0,1,0,1,3,1,0,150.0,inf,inf,6.0,16.67,0,0,0
Mohammed Shami,PBKS,1,9,7,0,0,0,2,2,2,1,128.57,inf,inf,inf,28.57,0,0,0
MP Yadav,CSK,1,9,8,0,1,0,2,5,0,0,112.5,inf,inf,8.0,25.0,0,0,0
R Ahir,MI,1,9,9,0,1,0,3,5,0,0,100.0,inf,inf,9.0,33.33,0,0,0
LH Ferguson,GT,2,9,17,2,0,1,14,1,1,0,52.94,8.5,4.5,17.0,82.35,0,0,0
Mayank Dagar,RR,3,8,11,0,1,0,7,2,1,0,72.73,inf,inf,11.0,63.64,0,0,0
Rasikh Salam,GT,3,7,5,1,0,1,3,1,0,0,140.0,5.0,7.0,5.0,60.0,0,0,0
K Rabada,MI,1,7,14,0,0,0,8,7,0,0,50.0,inf,inf,inf,57.14,0,0,0
B Kumar,KKR,5,7,19,4,0,1,17,1,0,0,36.84,4.75,1.75,19.0,89.47,0,0,0
Vaibhav Suryavanshi,PBKS,2,6,6,2,1,0,5,2,0,0,100.0,3.0,3.0,6.0,83.33,0,0,0
RD Chahar,RCB,2,6,8,1,1,0,5,2,0,0,75.0,8.0,6.0,8.0,62.5,0,0,0
M Markande,PBKS,2,6,13,2,1,0,10,2,0,0,46.15,6.5,3.0,13.0,76.92,0,0,0
Mohammed Siraj,RCB,1,5,2,0,1,0,0,1,0,0,250.0,inf,inf,2.0,0.0,0,0,0
DS Rathi,KKR,3,5,4,1,0,0,1,2,0,1,125.0,4.0,5.0,inf,25.0,0,0,0
KK Ahmed,GT,3,5,8,3,0,0,5,1,2,0,62.5,2.67,1.67,inf,62.5,0,0,0
Ravi Bishnoi,PBKS,3,5,10,3,0,0,7,2,0,1,50.0,3.33,1.67,inf,70.0,0,0,0
D Padikkal,KKR,1,4,2,1,1,0,1,0,0,0,200.0,2.0,4.0,2.0,50.0,0,0,0
V Puthur,LSG,1,4,2,0,1,0,1,0,0,0,200.0,inf,inf,2.0,50.0,0,0,0
A Nortje,RCB,2,4,3,1,1,0,2,0,0,0,133.33,3.0,4.0,3.0,66.67,0,0,0
CV Varun,PBKS,3,4,11,1,0,0,8,2,1,0,36.36,11.0,4.0,inf,72.73,0,0,0
GD Phillips,RR,2,3,11,2,0,0,8,3,0,0,27.27,5.5,1.5,inf,72.73,0,0,0
R Tewatia,SRH,1,2,2,1,0,0,0,2,0,0,100.0,2.0,2.0,inf,0.0,0,0,0
Cheepurapalli Stephen,DC,1,2,4,1,0,0,3,0,1,0,50.0,4.0,2.0,inf,75.0,0,0,0
Suyash Sharma,MI,1,2,4,0,0,0,3,0,1,0,50.0,inf,inf,inf,75.0,0,0,0
Mohammad Ghazanfar,CSK,2,2,7,1,0,0,5,2,0,0,28.57,7.0,2.0,inf,71.43,0,0,0
Imran Tahir,MI,2,2,8,2,0,0,6,2,0,0,25.0,4.0,1.0,inf,75.0,0,0,0
Avesh Khan,PBKS,1,1,1,0,0,0,0,1,0,0,100.0,inf,inf,inf,0.0,0,0,0
MJ Santner,PBKS,1,1,2,1,0,0,1,1,0,0,50.0,2.0,1.0,inf,50.0,0,0,0
SO Hetmyer,RCB,1,1,2,1,0,0,1,1,0,0,50.0,2.0,1.0,inf,50.0,0,0,0
PN Mankad,SRH,1,1,3,1,0,0,2,1,0,0,33.33,3.0,1.0,inf,66.67,0,0,0
SZ Mulani,MI,1,1,3,1,0,0,2,1,0,0,33.33,3.0,1.0,inf,66.67,0,0,0
Bhanu Pania,MI,1,1,5,0,0,0,4,1,0,0,20.0,inf,inf,inf,80.0,0,0,0
Ravi Teja,LSG,1,1,5,1,0,0,4,1,0,0,20.0,5.0,1.0,inf,80.0,0,0,0
M Pathirana,RCB,2,1,6,2,0,0,5,1,0,0,16.67,3.0,0.5,inf,83.33,0,0,0
YV Dhull,LSG,1,1,6,1,0,0,5,1,0,0,16.67,6.0,1.0,inf,83.33,0,0,0
MA Starc,KKR,4,1,7,3,0,0,7,1,0,0,14.29,2.33,0.33,inf,100.0,0,0,0
Mujeeb Ur Rahman,RCB,2,1,7,2,0,0,6,1,0,0,14.29,3.5,0.5,inf,85.71,0,0,0
MM Ali,RCB,2,1,9,2,0,0,8,1,0,0,11.11,4.5,0.5,inf,88.89,0,0,0
A Kamboj,RR,1,0,2,1,0,0,2,0,0,0,0.0,2.0,0.0,inf,100.0,0,0,0
Akash Deep,SRH,1,0,1,0,0,0,1,0,0,0,0.0,inf,,inf,100.0,0,0,0
DG Nalkande,RCB,1,0,3,1,0,0,3,0,0,0,0.0,3.0,0.0,inf,100.0,0,0,0
M Prasidh Krishna,DC,1,0,3,1,0,0,3,0,0,0,0.0,3.0,0.0,inf,100.0,0,0,0
M Shahrukh Khan,KKR,2,0,3,2,0,0,3,0,0,0,0.0,1.5,0.0,inf,100.0,0,0,0
Mukesh Kumar,GT,2,0,2,2,0,0,2,0,0,0,0.0,1.0,0.0,inf,100.0,0,0,0
Mustafizur Rahman,DC,1,0,1,1,0,0,1,0,0,0,0.0,1.0,0.0,inf,100.0,0,0,0
Pardeep Yadav,MI,1,0,2,1,0,0,2,0,0,0,0.0,2.0,0.0,inf,100.0,0,0,0
R Sai Kishore,GT,1,0,3,1,0,0,3,0,0,0,0.0,3.0,0.0,inf,100.0,0,0,0
Yash Dayal,LSG,1,0,1,1,0,0,1,0,0,0,0.0,1.0,0.0,inf,100.0,0,0,0
