bowler,num_innings,runs,balls,wkts,bowl_phase,bowl_sr,bowl_eco,form
A Badoni,3,46,25,2,middle,12.5,11.04,0.9997245932537352
A Kamboj,3,107,66,4,middle,16.5,9.727272727272727,1.0554162592457295
A Nortje,5,155,105,7,pp,15.0,8.857142857142858,1.1500577476007812
A Zampa,5,119,104,12,middle,8.666666666666666,6.865384615384615,1.300863454173959
AD Russell,5,147,79,1,middle,79.0,11.164556962025317,0.7748514078496231
AK Markram,5,150,102,12,middle,8.5,8.823529411764707,1.2710928718039864
AR Patel,5,208,120,0,middle,208.0,10.4,0.7083625905755297
AS Roy,5,166,114,2,middle,57.0,8.736842105263158,0.8793167585034207
Abhishek Sharma,5,163,102,6,middle,17.0,9.588235294117647,1.0973916455052446
Akash Deep,2,77,47,1,middle,47.0,9.829787234042554,0.8266108232227541
Arshdeep Singh,5,170,102,3,middle,34.0,10.0,0.9513263339253324
Ashutosh Sharma,5,99,60,2,middle,30.0,9.9,0.9259608813023084
Avesh Khan,5,185,120,5,middle,24.0,9.25,1.0447851423164145
Azmatullah Omarzai,4,138,91,3,middle,30.333333333333332,9.098901098901099,0.971374061195546
B Kumar,5,202,103,7,middle,14.714285714285714,11.766990291262136,1.1077318195709012
BA Stokes,5,137,102,6,middle,17.0,8.058823529411764,1.116627587314893
C Green,4,136,78,2,middle,39.0,10.461538461538462,0.8970202933484678
C Sakariya,5,136,98,4,middle,24.5,8.326530612244898,1.0304057353683427
CV Varun,5,150,90,5,middle,18.0,10.0,1.0669278088134282
Cheepurapalli Stephen,3,124,72,1,middle,72.0,10.333333333333334,0.7881483876109486
DG Nalkande,1,36,24,0,middle,36.0,9.0,0.8564672955323122
DJ Hooda,5,39,30,0,pp,39.0,7.8,0.8714298133168101
DL Chahar,5,176,114,1,middle,114.0,9.263157894736842,0.761024946351026
DS Rathi,4,146,96,6,middle,16.0,9.125,1.109545520549517
Fazalhaq Farooqi,5,136,114,9,pp,12.666666666666666,7.157894736842105,1.2252587732948714
G Coetzee,4,110,78,4,pp,19.5,8.461538461538462,1.0641575720058047
GD Phillips,1,14,12,1,middle,12.0,7.0,0.9802511407248654
GF Linde,2,64,42,1,death,42.0,9.142857142857142,0.854882390752557
GJ Maxwell,5,150,96,6,middle,16.0,9.375,1.1065506155506484
HH Pandya,5,160,94,3,middle,31.333333333333332,10.212765957446809,0.9571112314906134
HR Shokeen,2,57,25,2,middle,12.5,13.68,0.9785176721961991
HV Patel,5,128,83,7,middle,11.857142857142858,9.25301204819277,1.1594413128882566
Harpreet Brar,5,207,120,6,middle,20.0,10.35,1.0714782888942431
Harshit Rana,5,155,108,3,pp,36.0,8.61111111111111,0.9707877577763069
I Sharma,1,36,24,2,middle,12.0,9.0,1.0245328997115617
IC Porel,1,30,18,0,pp,30.0,10.0,0.8726421965095501
JC Archer,5,173,105,8,death,13.125,9.885714285714286,1.1731073500932272
JD Unadkat,1,30,24,1,middle,24.0,7.5,0.9083182380904945
JG Bethell,2,55,36,3,middle,12.0,9.166666666666666,1.0649718832084336
JJ Bumrah,5,165,102,3,pp,34.0,9.705882352941176,0.9647372916328851
JR Hazlewood,5,155,102,4,pp,25.5,9.117647058823529,1.0282815376349836
Jagjit Singh,5,172,114,6,middle,19.0,9.052631578947368,1.0915096139914298
K Kartikeya,1,31,17,0,death,31.0,10.941176470588236,0.8655594896147802
K Rabada,3,111,72,1,middle,72.0,9.25,0.7969257540776623
KH Pandya,5,192,120,5,middle,24.0,9.6,1.0409120543205115
KK Ahmed,5,159,107,5,pp,21.4,8.91588785046729,1.0724757926022772
Kuldeep Yadav,5,164,119,7,middle,17.0,8.268907563025211,1.1310593210963202
LH Ferguson,1,52,21,0,pp,52.0,14.857142857142858,0.7938792863136624
LS Livingstone,5,110,73,8,death,9.125,9.04109589041096,1.2274479860643763
M Jansen,5,173,111,3,middle,37.0,9.35135135135135,0.9496636185221239
M Markande,5,144,114,3,middle,38.0,7.578947368421052,0.9672487155284377
M Pathirana,5,168,111,3,middle,37.0,9.08108108108108,0.9524528434960773
M Prasidh Krishna,5,165,120,6,middle,20.0,8.25,1.096054162138973
M Siddharth,5,136,106,3,middle,35.333333333333336,7.69811320754717,0.9727931863278921
M Theekshana,5,166,102,5,pp,20.4,9.764705882352942,1.067865121627233
MA Starc,5,188,104,7,pp,14.857142857142858,10.846153846153847,1.1280725538860852
MG Bracewell,5,191,114,5,middle,22.8,10.052631578947368,1.0414557547105021
MJ Suthar,2,77,48,0,middle,77.0,9.625,0.788453596688332
MM Ali,3,116,72,0,middle,116.0,9.666666666666666,0.7564701780667102
MP Stoinis,5,82,52,1,middle,52.0,9.461538461538462,0.8214266233135347
MP Yadav,5,158,98,7,death,14.0,9.673469387755102,1.1525990786599267
MR Marsh,5,244,107,5,death,21.4,13.682242990654206,1.0317616634432023
Mayank Dagar,4,138,95,4,middle,23.75,8.715789473684211,1.0289025641947303
Mohammad Ghazanfar,4,139,82,7,middle,11.714285714285714,10.170731707317072,1.149921748591819
Mohammad Nabi,3,114,72,5,pp,14.4,9.5,1.1087578957761637
Mohammed Shami,5,144,102,4,pp,25.5,8.470588235294118,1.0358788331378208
Mohammed Siraj,5,137,96,2,pp,48.0,8.5625,0.9062899253994178
Mohsin Khan,4,134,88,7,pp,12.571428571428571,9.136363636363637,1.1669233712413822
Mujeeb Ur Rahman,3,126,72,3,pp,24.0,10.5,0.9911066868833245
Mukesh Kumar,3,86,54,2,pp,27.0,9.555555555555555,0.9494877453732233
Mustafizur Rahman,5,184,114,7,pp,16.285714285714285,9.68421052631579,1.1305012205049396
N Sindhu,1,33,12,0,death,33.0,16.5,0.8255430117021896
NT Ellis,1,50,24,2,middle,12.0,12.5,0.9914233852446064
Naman Dhir,2,35,30,1,middle,30.0,7.0,0.8944238175555406
Naveen-ul-Haq,2,49,36,2,death,18.0,8.166666666666666,1.008580947518328
Nithish Kumar Reddy,1,52,24,1,death,24.0,13.0,0.8728186840190967
Noor Ahmad,3,105,72,8,pp,9.0,8.75,1.2280958883112765
PJ Cummins,5,175,102,6,pp,17.0,10.294117647058824,1.10169062830727
PWH de Silva,5,145,102,3,pp,34.0,8.529411764705882,0.9772837118961036
R Ashwin,5,142,113,3,middle,37.666666666666664,7.539823008849558,0.9686024794697741
R Parag,3,76,42,1,middle,42.0,10.857142857142858,0.8276920821946198
R Sai Kishore,5,173,102,6,middle,17.0,10.176470588235293,1.0908770363968956
R Tewatia,1,31,18,1,pp,18.0,10.333333333333334,0.9153707704762776
RA Jadeja,5,153,102,7,pp,14.571428571428571,9.0,1.1515523203896834
Rashid Khan,5,183,120,8,middle,15.0,9.15,1.1490079890758584
Rasikh Salam,5,183,105,9,middle,11.666666666666666,10.457142857142857,1.1763960371205235
Ravi Bishnoi,5,160,120,2,middle,60.0,8.0,0.8825598387255139
Ravi Teja,2,74,48,4,middle,12.0,9.25,1.0950626998463455
S Dube,1,26,12,1,middle,12.0,13.0,0.9214097959506566
S Gopal,1,34,24,0,pp,34.0,8.5,0.8759081163240441
SH Johnson,3,99,68,5,pp,13.6,8.735294117647058,1.124510956457681
SM Curran,5,196,114,1,middle,114.0,10.31578947368421,0.7528779065205444
SN Thakur,2,71,42,2,pp,21.0,10.142857142857142,0.9678618553628255
SP Narine,5,155,103,2,middle,51.5,9.029126213592233,0.8853663040556115
SS Ghosh,1,30,24,4,death,6.0,7.5,1.2168141225651576
SZ Mulani,2,72,48,3,middle,16.0,9.0,1.0366715049756956
Sandeep Sharma,5,181,102,3,middle,34.0,10.647058823529411,0.9453803113890354
Shahbaz Ahmed,5,175,108,8,pp,13.5,9.722222222222221,1.1669369789631059
Shakib Al Hasan,5,102,84,5,pp,16.8,7.285714285714286,1.1211589638781854
Shashank Singh,3,62,36,2,middle,18.0,10.333333333333334,0.9703244842940231
Sikandar Raza,5,135,101,5,middle,20.2,8.01980198019802,1.0782284427162527
Suryansh Shedge,5,136,114,4,middle,28.5,7.157894736842105,1.0304057353683427
Suyash Sharma,5,166,102,0,middle,166.0,9.764705882352942,0.7291024531967801
Swapnil Singh,5,130,88,7,middle,12.571428571428571,8.863636363636363,1.1576450862604528
T Natarajan,5,192,108,2,middle,54.0,10.666666666666666,0.8666146694478145
TA Boult,5,162,107,3,pp,35.666666666666664,9.08411214953271,0.9665091265522381
TU Deshpande,4,134,90,3,middle,30.0,8.933333333333334,0.9742354558821162
Tanush Kotian,5,170,102,5,pp,20.4,10.0,1.0653254902143316
Tilak Varma,2,53,30,0,death,53.0,10.6,0.8229649145415753
Umran Malik,1,42,24,1,middle,24.0,10.5,0.8782643023010006
V Nigam,1,40,24,0,middle,40.0,10.0,0.8386085498361981
V Puthur,4,153,84,7,middle,12.0,10.928571428571429,1.1389394205542671
VG Arora,5,154,96,4,middle,24.0,9.625,1.017677297021136
WG Jacks,5,82,60,2,death,30.0,8.2,0.9579635454890381
Washington Sundar,5,146,108,9,middle,12.0,8.11111111111111,1.203270795894807
YS Chahal,5,187,116,2,middle,58.0,9.672413793103448,0.868904403963697
Yash Dayal,3,131,71,2,pp,35.5,11.070422535211268,0.9103577199139246
Yash Thakur,1,21,24,3,middle,8.0,5.25,1.1726069972446755
